SubStageID,SubstageName,StageName,MinMinTemp,MinAvgTemp,MaxFieldHumidity,MinFieldHumidity,TriggerAccumulatedTemp,Duration,Sunshine
1,播种前,播种前,,,,,,,
2,播种,播种,,,,,,,
3,发芽期,苗期,,,,,,6.3%，5.3%，4.3%,
4,一叶期,苗期,,,,,,2.5%，3.0%，3.5%,
5,二叶期,苗期,,,,,,2.5%，3.0%，3.5%,
6,三叶期,苗期,,,,,,2.5%，3.0%，3.5%,
7,移栽前准备,苗期,,,,,,2.5%，3.0%，3.5%,
8,移栽,移栽,,,,,,,
9,返青期,返青期,15,,,,,4.7%，3.7%，3.1%,
10,一次分蘖期,分蘖期,15,,,,,8.1%，7.6%，7.3%,
11,二次分蘖期,分蘖期,,,,,,8.1%，7.6%，7.3%,
12,三次分蘖期,分蘖期,,,,,,8.1%，7.6%，7.3%,
13,倒四叶期,拔节孕穗期,,,,,,6.25%，6.75%，6.875%,
14,倒三叶期,拔节孕穗期,,,,,,6.25%，6.75%，6.875%,
15,倒二叶期,拔节孕穗期,17,,,,,6.25%，6.75%，6.875%,
16,剑叶期,拔节孕穗期,,,,,,6.25%，6.75%，6.875%,
17,始穗期/破口期,抽穗开花期,,20,,,,1.4%，1%，1%,
18,抽穗期,抽穗开花期,,,,,,3.3%，2.6%，2.6%,
19,齐穗期,抽穗开花期,,,,,,1%，1.1%，1.1%,
20,灌浆始期,灌浆成熟期,,,,,,3%，3%，3%,
21,乳熟期,灌浆成熟期,,15,,,,7%，7%，7%,
22,腊熟期,灌浆成熟期,,,,,,7%，7%，7%,
23,黄熟期,灌浆成熟期,,,,,,7%，7.5%，7.5%,
24,收获,收获,,13,,,,,
25,收获后,收获后,,,,,,,